ko_id,initial_num_seqs,num_groups,num_ungrouped,final_num_seqs,description,ec_numbers
K00012,5103,394.0,685.0,1078,UDP-glucose 6-dehydrogenase [EC:1.1.1.22],['1.1.1.22']
K09472,648,57.0,66.0,122,Aldehyde dehydrogenase,[]
K13829,257,26.0,37.0,62,Multifunctional fusion protein [EC:2.7.1.71],['2.7.1.71']
K02112,4491,337.0,591.0,927,ATP synthase subunit beta [EC:7.1.2.2],['7.1.2.2']
K01633,3451,256.0,484.0,739,"7,8-dihydroneopterin aldolase [EC:4.1.2.25]",['4.1.2.25']
K13402,77,9.0,10.0,18,formate--tetrahydrofolate ligase [EC:6.3.4.3],['6.3.4.3']
K00872,2801,204.0,393.0,596,Homoserine kinase [EC:2.7.1.39],['2.7.1.39']
K03154,3093,250.0,471.0,720,Thiamin biosynthesis protein,[]
K03644,4264,331.0,531.0,861,Lipoyl synthase [EC:2.8.1.8],['2.8.1.8']
K13403,256,16.0,18.0,33,methenyltetrahydrofolate cyclohydrolase [EC:3.5.4.9],['3.5.4.9']
K01500,432,44.0,49.0,92,Cyclodeaminase/cyclohydrolase domain-containing protein,[]
K00288,360,35.0,23.0,57,Putative c-1-tetrahydrofolate synthase protein,[]
K01778,4250,335.0,537.0,871,Diaminopimelate epimerase [EC:5.1.1.7],['5.1.1.7']
K02224,2271,174.0,352.0,525,"Hydrogenobyrinate a,c-diamide synthase [EC:6.3.5.9]",['6.3.5.9']
K02115,4517,336.0,747.0,1082,ATP synthase gamma chain,[]
K03739,327,34.0,23.0,56,Teichoic acid D-alanyltransferase [EC:2.3.1.-],['2.3.1.-']
K18304,54,2.0,0.0,2,"Transcriptional regulator, LuxR family",[]
K18901,589,58.0,44.0,101,Membrane fusion protein,[]
K14371,1,,,1,Type I polyketide synthase AVES 1,[]
K24567,1,,,1,Type I polyketide synthase AVES 2,[]
K24568,1,,,1,Type I polyketide synthase AVES 3,[]
K19593,16,1.0,16.0,16,Putative outer membrane efflux protein,[]
K24569,1,,,1,Type I polyketide synthase AVES 4,[]
K14372,1,,,1,Cytochrome P450 hydroxylase,[]
K14373,1,,,1,C-5 ketoreductase,[]
K14374,1,,,1,C5-O-methyltransferase,[]
K14375,1,,,1,dTDP-L-oleandrose transferase (Glycosyltransferase),[]
K13632,87,10.0,3.0,12,Multiple antibiotic resistance protein MarA,[]
K21160,35,4.0,2.0,5,Enediyne biosynthesis protein,[]
K19594,48,2.0,0.0,2,Efflux pump membrane transporter,[]
K11753,4384,354.0,562.0,915,Riboflavin biosynthesis protein [EC:2.7.1.26],['2.7.1.26']
K03740,355,35.0,20.0,54,Protein DltD,[]
K19595,66,6.0,0.0,6,RND efflux system membrane fusion proteinCmeA,[]
K21165,33,2.0,0.0,2,Regulator,[]
K01439,4566,349.0,584.0,932,Succinyl-diaminopimelate desuccinylase [EC:3.5.1.18],['3.5.1.18']
K03431,3913,311.0,565.0,875,Phosphoglucosamine mutase [EC:5.4.2.10],['5.4.2.10']
K00793,4477,361.0,661.0,1021,Riboflavin synthase,[]
K05298,174,21.0,15.0,35,Glyceraldehyde-3-phosphate dehydrogenase [EC:1.2.1.-],['1.2.1.-']
K01100,152,16.0,16.0,31,Uncharacterized protein,[]
K00215,4638,330.0,675.0,1004,4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8],['1.17.1.8']
K00287,3740,300.0,548.0,847,Dihydrofolate reductase [EC:1.5.1.3],['1.5.1.3']
K02108,4400,318.0,656.0,973,ATP synthase subunit a,[]
K15314,92,6.0,5.0,10,Erythronolide synthase,[]
K21168,2,,,2,STM4012 family radical SAM protein,[]
K21164,55,7.0,4.0,10,Cytochrome P450,[]
K00950,3998,314.0,479.0,792,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase [EC:2.7.6.3],['2.7.6.3']
K18093,224,21.0,21.0,41,Outer membrane porin,[]
K21161,77,5.0,0.0,5,Enediyne biosynthesis protein,[]
K21170,9,1.0,9.0,9,Methyltransferase domain-containing protein,[]
K21169,11,1.0,11.0,11,Homocysteine S-methyltransferase family protein,[]
K21171,11,1.0,11.0,11,cysteine desulfurase [EC:2.8.1.7],['2.8.1.7']
K21221,1,,,1,Polyketide synthase module,[]
K21222,1,,,1,p450 monooxygenase,[]
K21223,1,,,1,O-methyltransferase,[]
K21172,11,1.0,11.0,11,Type 11 methyltransferase,[]
K21174,9,1.0,9.0,9,Class V aminotransferase,[]
K21225,1,,,1,Acyl-CoA synthetase,[]
K21173,11,2.0,0.0,2,Cystathionine gamma-synthase,[]
K21227,1,,,1,Tyrosine aminomutase,[]
K21228,1,,,1,NRPS adenylation domain,[]
K21166,34,2.0,0.0,2,Oxidoreductase,[]
K21254,2,,,2,CalO5,[]
K21255,2,,,2,O-methyltransferase family 2,[]
K21256,2,,,2,CalO3,[]
K21167,32,4.0,2.0,5,Mycothiol-dependent maleylpyruvate isomerase metal-binding domain-containing protein,[]
K21257,2,,,2,CalO2,[]
K21258,2,,,2,O-methyltransferase family 2,[]
K21183,12,1.0,12.0,12,Carrier domain-containing protein,[]
K21224,14,2.0,0.0,2,Radical SAM protein,[]
K21259,2,,,2,CalG3,[]
K04042,3915,308.0,471.0,778,Bifunctional protein GlmU [EC:2.7.7.23],['2.7.7.23']
K02110,3341,254.0,405.0,658,ATP synthase subunit c,[]
K21260,2,,,2,"Glycosyltransferase, MGT family",[]
K21261,2,,,2,CalO4,[]
K21262,2,,,2,"Glycosyltransferase, MGT family",[]
K21263,2,,,2,CalG1,[]
K10952,6,1.0,6.0,6,Ace,[]
K14188,358,34.0,37.0,70,D-alanyl carrier protein,[]
K21163,102,10.0,14.0,23,Uncharacterized protein,[]
K19316,5,,,5,beta-lactamase [EC:3.5.2.6],['3.5.2.6']
K22346,3,,,3,Carbapenem-hydrolyzing beta-lactamase Sme-1 [EC:3.5.2.6],['3.5.2.6']
K18900,728,70.0,62.0,131,LysR family regulatory protein,[]
K18970,20,2.0,0.0,2,beta-lactamase [EC:3.5.2.6],['3.5.2.6']
K16431,44,5.0,4.0,8,Tryptophan halogenase,[]
K10948,29,2.0,0.0,2,Cytolysin and hemolysin HlyA Pore-forming toxin,[]
K18768,14,1.0,14.0,14,beta-lactamase [EC:3.5.2.6],['3.5.2.6']
K18793,5,,,5,OXA-146 carbapenemase [EC:3.5.2.6],['3.5.2.6']
K18971,11,2.0,0.0,2,Beta-lactamase OXA-143,[]
K10953,39,2.0,0.0,2,RTX (Repeat in toxin) cytotoxin,[]
K03147,3274,235.0,341.0,575,Phosphomethylpyrimidine synthase [EC:4.1.99.17],['4.1.99.17']
K19321,3,,,3,Beta-lactamase [EC:3.5.2.6],['3.5.2.6']
K19320,8,1.0,8.0,8,Beta-lactamase OXA-10 [EC:3.5.2.6],['3.5.2.6']
K19322,9,1.0,9.0,9,Beta-lactamase,[]
K18972,5,,,5,Beta-lactamase [EC:3.5.2.6],['3.5.2.6']
K19319,17,2.0,0.0,2,Penicillin-binding protein transpeptidase domain-containing protein,[]
K21277,3,,,3,Beta-lactamase [EC:3.5.2.6],['3.5.2.6']
K19318,29,2.0,0.0,2,Beta-lactamase OXA-325,[]
K19211,12,1.0,12.0,12,Class D beta-lactamase OXA-155,[]
K19099,2,,,2,GIM-1 protein,[]
K10961,2,,,2,Toxin co-regulated pilus biosynthesis protein I,[]
K11018,58,6.0,3.0,8,SGNH/GDSL hydrolase family protein,[]
K10920,2,,,2,Toxin co-regulated pilus biosynthesis protein P,[]
K18976,21,1.0,21.0,21,Beta-lactamase [EC:3.5.2.6],['3.5.2.6']
K19216,12,1.0,12.0,12,Metallo-beta-lactamase type 2 [EC:3.5.2.6],['3.5.2.6']
K10919,3,,,3,Toxin co-regulated pilus biosynthesis protein H,[]
K18780,14,3.0,3.0,5,Beta-lactamase NDM-7,[]
K00794,4478,357.0,633.0,989,"6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]",['2.5.1.78']
K03367,557,53.0,39.0,91,D-alanine--poly(Phosphoribitol) ligase subunit 1 [EC:6.1.1.13],['6.1.1.13']
K10963,1,,,1,Toxin coregulated pilus biosynthesis protein R,[]
K18781,31,2.0,0.0,2,Metallo-beta-lactamase VIM-16,[]
K10930,16,3.0,4.0,6,Toxin coregulated pilin subunit TcpA,[]
K14272,90,10.0,10.0,19,alanine transaminase [EC:2.6.1.2],['2.6.1.2']
K10964,3,,,3,Toxin co-regulated pilus biosynthesis protein S,[]
K10962,16,1.0,16.0,16,Type IV pilus biogenesis protein,[]
K10931,16,3.0,1.0,3,Type II secretion system protein,[]
K18782,34,4.0,0.0,4,Beta-lactamase [EC:3.5.2.6],['3.5.2.6']
K22851,1,,,1,CFA/I fimbrial subunit B,[]
K10932,15,2.0,0.0,2,Type II and III secretion system protein,[]
K22850,2,,,2,Fimbria/pilus periplasmic chaperone,[]
K22853,1,,,1,Fimbrial protein,[]
K22852,1,,,1,Fimbrial usher family protein,[]
K10935,3,,,3,Toxin coregulated pilus biosynthesis protein F,[]
K22854,1,,,1,"AraC-family, transcriptional regulator Rns",[]
K10966,1,,,1,Prepilin leader peptidase/N-methyltransferase [EC:2.1.1.-],['2.1.1.-']
K10933,13,1.0,13.0,13,Toxin-coregulated pilus biosynthesis protein D,[]
K22914,3,,,3,Vi polysaccharide biosynthesis protein,[]
K22926,2,,,2,Vi polysaccharide biosynthesis UDP-N-acetylglucosamine C-6 dehydrogenase TviB,[]
K22918,3,,,3,Uncharacterized protein,[]
K22925,2,,,2,Vi polysaccharide biosynthesis UDP-N-acetylglucosaminuronic acid C-4 epimerase TviC,[]
K22916,2,,,2,Vi polysaccharide biosynthesis protein VipC/TviE,[]
K22915,3,,,3,Vi polysaccharide biosynthesis protein,[]
K22924,2,,,2,Vi polysaccharide export protein,[]
K00382,8142,617.0,1205.0,1821,Dihydrolipoyl dehydrogenase [EC:1.8.1.4],['1.8.1.4']
K10965,15,1.0,15.0,15,Toxin co-regulated pilus biosynthesis protein T,[]
K10934,14,1.0,14.0,14,Type II secretion system F domain-containing protein,[]
K22921,5,,,5,ABC transporter permease,[]
K22923,5,,,5,ATP-binding cassette domain-containing protein,[]
K22922,3,,,3,Capsule biosynthesis protein,[]
K11029,3,,,3,Calmodulin-sensitive adenylate cyclase [EC:4.6.1.1],['4.6.1.1']
K08645,4,,,4,Lethal factor [EC:3.4.24.83],['3.4.24.83']
K22976,2,,,2,Anthrax toxin expression trans-acting positive regulator,[]
K22977,4,,,4,Capsule synthesis positive regulator AcpA,[]
K03750,5817,451.0,922.0,1372,Molybdopterin molybdenumtransferase [EC:2.10.1.1],['2.10.1.1']
K21185,118,12.0,6.0,17,Flavin reductase,[]
K11030,8,1.0,8.0,8,Protective antigen domain protein,[]
K19298,13,1.0,13.0,13,Putative pertussis-like toxin subunit,[]
K22981,2,,,2,Polyglutamate capsule biosynthesis protein CapE,[]
K22917,15,2.0,0.0,2,Vi polysaccharide export protein VexE,[]
K22980,6,1.0,6.0,6,Capsule synthesis positive regulator AcpB,[]
K09476,334,29.0,26.0,54,Outer membrane protein F,[]
K18794,128,15.0,3.0,17,Beta-lactamase OXA-82,[]
K11014,65,4.0,2.0,5,Cytolethal distending toxin protein B,[]
K01495,4476,325.0,601.0,925,GTP cyclohydrolase 1 [EC:3.5.4.16],['3.5.4.16']
K07282,58,5.0,6.0,10,,[]
K07637,564,46.0,81.0,126,histidine kinase [EC:2.7.13.3],['2.7.13.3']
K10954,264,24.0,29.0,52,PI protein,[]
K01932,202,21.0,8.0,28,Poly-gamma-glutamate synthase PgsB,[]
K22116,191,19.0,13.0,31,,[]
K09778,45,2.0,0.0,2,DUF374 domain-containing protein,[]
K00003,4079,325.0,507.0,831,Homoserine dehydrogenase [EC:1.1.1.3],['1.1.1.3']
K00941,3662,277.0,480.0,756,Bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase [EC:2.7.1.49],['2.7.1.49']
K00051,61,2.0,0.0,2,"Malate dehydrogenase [NADP], chloroplastic [EC:1.1.1.82]",['1.1.1.82']
K13830,125,10.0,2.0,11,Pentafunctional AROM polypeptide [EC:4.2.3.4],['4.2.3.4']
K00028,143,11.0,6.0,16,Malic enzyme,[]
K01602,622,59.0,45.0,103,"Ribulose bisphosphate carboxylase small subunit, chloroplastic",[]
K13832,271,18.0,23.0,40,Multifunctional fusion protein [EC:4.2.1.10],['4.2.1.10']
K01784,9284,721.0,1489.0,2209,UDP-glucose 4-epimerase [EC:5.1.3.2],['5.1.3.2']
K00274,1791,134.0,239.0,372,Amine oxidase [EC:1.4.3.-],['1.4.3.-']
K02172,1902,137.0,198.0,334,,[]
K14455,469,42.0,33.0,74,Aspartate aminotransferase [EC:2.6.1.1],['2.6.1.1']
K07660,593,54.0,57.0,110,"Two component transcriptional regulator, winged helix family",[]
K00286,5488,419.0,786.0,1204,Pyrroline-5-carboxylate reductase [EC:1.5.1.2],['1.5.1.2']
K01601,764,70.0,61.0,130,,[]
K08641,1355,110.0,180.0,289,D-Ala-D-Ala dipeptidase,[]
K24018,220,23.0,14.0,36,3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19],['2.5.1.19']
K09471,1624,114.0,164.0,277,FAD-dependent oxidoreductase,[]
K18556,19,2.0,0.0,2,Succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1],['1.3.5.1']
K18557,7,1.0,7.0,7,succinate dehydrogenase [EC:1.3.5.1],['1.3.5.1']
K18558,6,1.0,6.0,6,Molydopterin dinucleotide-binding region,[]
K18559,6,1.0,6.0,6,FAD-dependent pyridine nucleotide-disulphide oxidoreductase,[]
K00657,1784,134.0,195.0,328,Diamine acetyltransferase 1a.2,[]
K18560,6,1.0,6.0,6,Dimethylsulfoxide reductase chain B,[]
K14205,916,72.0,49.0,120,Phosphatidylglycerol lysyltransferase [EC:2.3.2.3],['2.3.2.3']
K11539,109,10.0,6.0,15,Carbonyl reductase 4,[]
K22540,72,6.0,0.0,6,"Hydroxyacyl-thioester dehydratase type 2, mitochondrial",[]
K14454,623,49.0,56.0,104,Aspartate aminotransferase [EC:2.6.1.1],['2.6.1.1']
K15232,9,1.0,9.0,9,ATP citrate synthase [EC:2.3.3.8],['2.3.3.8']
K15233,6,1.0,6.0,6,CoA-binding domain protein,[]
K15234,21,2.0,0.0,2,citrate synthase (unknown stereospecificity) [EC:2.3.3.16],['2.3.3.16']
K15230,47,5.0,0.0,5,"ATP citrate lyase, alpha subunit [EC:2.3.3.8]",['2.3.3.8']
K15231,51,6.0,0.0,6,ATP citrate synthase [EC:2.3.3.8],['2.3.3.8']
K00133,5094,391.0,672.0,1062,Aspartate-semialdehyde dehydrogenase,[]
K07260,1530,133.0,206.0,338,"D-alanyl-D-alanine carboxypeptidase, VanY family",[]
K16363,394,33.0,33.0,65,Multifunctional fusion protein [EC:4.2.1.59],['4.2.1.59']
K23647,1,,,1,Uncharacterized protein LOC111132395,[]
K23669,1,,,1,L-lysine 4-chlorinase [EC:1.14.20.-],['1.14.20.-']
K23670,2,,,2,Iron-containing redox enzyme family protein,[]
K23671,1,,,1,L-2-amino-4-chloropent-4-enoate dechlorinase/desaturase [EC:4.5.1.-],['4.5.1.-']
K03856,1341,124.0,126.0,249,3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54],['2.5.1.54']
K23672,1,,,1,L-propargylglycine--L-glutamate ligase [EC:6.3.2.-],['6.3.2.-']
K23673,6,1.0,6.0,6,Prolyl 4-hydroxylase alpha subunit domain-containing protein,[]
K01656,32,2.0,0.0,2,Multifunctional tryptophan biosynthesis protein [EC:4.1.1.48],['4.1.1.48']
K22541,30,4.0,5.0,8,HTD2-like protein,[]
K13370,167,18.0,25.0,42,Estradiol 17-beta-dehydrogenase 8,[]
K13501,91,3.0,0.0,3,Multifunctional tryptophan biosynthesis protein [EC:4.1.3.27],['4.1.3.27']
K02171,2082,160.0,325.0,484,BlaI/MecI/CopY family transcriptional regulator,[]
K13503,214,17.0,33.0,49,Anthranilate synthase [EC:4.1.3.27],['4.1.3.27']
K12407,108,11.0,1.0,11,Phosphotransferase [EC:2.7.1.-],['2.7.1.-']
K00796,4626,353.0,682.0,1034,Dihydropteroate synthase [EC:2.5.1.15],['2.5.1.15']
K03785,984,85.0,103.0,187,3-dehydroquinate dehydratase [EC:4.2.1.10],['4.2.1.10']
K16157,12,1.0,12.0,12,Methane monooxygenase,[]
K16158,12,2.0,0.0,2,Methane monooxygenase,[]
K18660,339,33.0,49.0,81,Predicted protein,[]
K00946,3388,251.0,510.0,760,Thiamine-monophosphate kinase [EC:2.7.4.16],['2.7.4.16']
K21162,879,79.0,110.0,188,ASPIC and UnbV./Family description,[]
K00820,6471,470.0,960.0,1429,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] [EC:2.6.1.16],['2.6.1.16']
K09949,661,57.0,86.0,142,DUF1009 domain-containing protein,[]
K00928,5647,402.0,785.0,1186,Aspartokinase [EC:2.7.2.4],['2.7.2.4']
K13497,177,14.0,8.0,21,Anthranilate phosphoribosyltransferase [EC:2.4.2.18],['2.4.2.18']
K02078,7541,543.0,1171.0,1713,Acyl carrier protein AcpXL,[]
K08167,1485,123.0,212.0,334,Multidrug efflux protein,[]
K11754,4552,337.0,689.0,1025,Folylpolyglutamate synthase,[]
K16159,12,2.0,0.0,2,Methane monooxygenase,[]
K16160,13,2.0,0.0,2,Monooxygenase,[]
K16161,12,1.0,12.0,12,2Fe-2S iron-sulfur cluster binding domain-containing protein,[]
K16162,12,2.0,0.0,2,Soluble methane monooxygenase-binding protein MmoD,[]
K01585,2201,176.0,227.0,402,Aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,[]
K11262,364,31.0,13.0,43,Acetyl-CoA carboxylase 1 [EC:6.4.1.2],['6.4.1.2']
K08074,207,15.0,10.0,24,ADP-dependent glucokinase,[]
K07512,412,38.0,31.0,68,Enoyl reductase (ER) domain-containing protein,[]
K00814,618,58.0,61.0,118,alanine transaminase [EC:2.6.1.2],['2.6.1.2']
K10944,82,5.0,0.0,5,Methane monooxygenase/ammonia monooxygenase subunit A,[]
K10945,87,3.0,0.0,3,Methane monooxygenase/ammonia monooxygenase subunit B,[]
K00549,3594,272.0,461.0,732,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14],['2.1.1.14']
K17836,2461,185.0,239.0,423,Beta-lactamase [EC:3.5.2.6],['3.5.2.6']
K01581,2053,146.0,218.0,363,Orn/DAP/Arg decarboxylase 2,[]
K07644,1201,103.0,127.0,229,Sensor protein [EC:2.7.13.3],['2.7.13.3']
K00918,176,19.0,13.0,31,ADP-dependent phosphofructokinase/glucokinase,[]
K00855,1023,82.0,126.0,207,Phosphoribulokinase [EC:2.7.1.19],['2.7.1.19']
K14028,62,6.0,8.0,13,"PQQ-dependent dehydrogenase, methanol/ethanol family",[]
K14029,64,5.0,3.0,7,Methanol dehydrogenase [cytochrome c] subunit 2 [EC:1.1.2.7],['1.1.2.7']
K00531,45,5.0,21.0,25,Nitrogenase iron-iron protein delta chain [EC:1.18.6.1],['1.18.6.1']
K22896,24,2.0,0.0,2,Nitrogenase protein alpha chain [EC:1.18.6.1],['1.18.6.1']
K10946,129,16.0,12.0,27,"Particulate methane monooxygenase, C subunit [EC:1.14.13.25]",['1.14.13.25']
K22897,27,2.0,0.0,2,Fe-only nitrogenase subunit beta,[]
K13810,173,13.0,3.0,15,Transaldolase [EC:2.2.1.2],['2.2.1.2']
K22899,14,1.0,14.0,14,Nitrogenase iron protein [EC:1.18.6.1],['1.18.6.1']
K22898,23,2.0,0.0,2,nitrogenase [EC:1.18.6.1],['1.18.6.1']
K00171,550,51.0,56.0,106,Pyruvate:ferredoxin oxidoreductase epsilon subunit [EC:1.2.7.1],['1.2.7.1']
K01959,413,42.0,55.0,96,Biotin carboxylase [EC:6.3.4.14],['6.3.4.14']
K07665,1224,101.0,132.0,232,Heavy metal response regulator transcription factor,[]
K00172,674,57.0,67.0,123,Pyruvate/ketoisovalerate oxidoreductase catalytic domain-containing protein,[]
K06859,244,24.0,29.0,52,Glucose-6-phosphate isomerase [EC:5.3.1.9],['5.3.1.9']
K05907,138,14.0,9.0,22,"5'-adenylylsulfate reductase 3, chloroplastic-like",[]
K15916,256,24.0,13.0,36,Bifunctional phosphoglucose/phosphomannose isomerase,[]
K00170,761,73.0,63.0,135,Pyruvate ferredoxin oxidoreductase,[]
K23995,313,33.0,64.0,96,Putative PQQ dehydrogenase protein,[]
K01960,598,55.0,46.0,100,Oxaloacetate decarboxylase subunit alpha [EC:4.1.1.3],['4.1.1.3']
K02109,5516,444.0,861.0,1304,ATP synthase subunit b 2,[]
K16305,91,7.0,2.0,8,"Fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",['4.1.2.13']
K16306,331,31.0,26.0,56,"2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:2.2.1.10]",['2.2.1.10']
K00169,841,69.0,102.0,170,Pyruvate ferredoxin oxidoreductase,[]
K16370,503,48.0,51.0,98,Phosphofructokinase,[]
K01480,2431,190.0,265.0,454,Agmatinase,[]
K18139,2833,218.0,385.0,602,Multidrug transporter,[]
K11389,98,9.0,2.0,10,Aldehyde ferredoxin oxidoreductase,[]
K00886,975,88.0,118.0,205,ROK family protein,[]
K01938,1821,153.0,250.0,402,Formate--tetrahydrofolate ligase [EC:6.3.4.3],['6.3.4.3']
K19591,1905,156.0,290.0,445,"Putative transcriptional regulator, MerR family",[]
K13811,489,46.0,30.0,75,sulfate adenylyltransferase [EC:2.7.7.4],['2.7.7.4']
K00189,49,4.0,0.0,4,Pyruvate/ketoisovalerate oxidoreductases common subunit gamma [EC:1.2.7.1],['1.2.7.1']
K00548,4236,298.0,552.0,849,Methionine synthase (B12-dependent) [EC:2.1.1.13],['2.1.1.13']
K24017,682,57.0,72.0,128,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase [EC:5.3.1.16],['5.3.1.16']
K13498,560,52.0,57.0,108,Multifunctional fusion protein [EC:4.1.1.48],['4.1.1.48']
K01694,133,12.0,24.0,35,Tryptophan synthase [EC:4.2.1.20],['4.2.1.20']
K00788,4574,364.0,637.0,1000,Thiamine-phosphate synthase [EC:2.5.1.3],['2.5.1.3']
K13997,121,12.0,9.0,20,Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex [EC:2.3.1.-],['2.3.1.-']
K00844,1431,122.0,161.0,282,Phosphotransferase [EC:2.7.1.-],['2.7.1.-']
K02586,723,70.0,76.0,145,Nitrogenase protein alpha chain [EC:1.18.6.1],['1.18.6.1']
K18978,95,4.0,0.0,4,Aldehyde Dehydrogenase,[]
K18127,4,,,4,4-hydroxy-tetrahydrodipicolinate synthase,[]
K03269,1703,136.0,248.0,383,Calcineurin-like phosphoesterase domain-containing protein,[]
K11645,838,66.0,54.0,119,Class I fructose-bisphosphate aldolase [EC:4.1.2.13],['4.1.2.13']
K02591,745,69.0,72.0,140,Nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1],['1.18.6.1']
K11395,38,4.0,0.0,4,Dihydrodipicolinate synthase/N-acetylneuraminate lyase [EC:4.1.2.-],['4.1.2.-']
K18020,28,2.0,0.0,2,Aldehyde oxidase and xanthine dehydrogenase molybdopterin binding,[]
K18021,26,2.0,0.0,2,Carbon monoxide dehydrogenase,[]
K18128,5,,,5,D-glyceraldehyde dehydrogenase (NADP(+)) [EC:1.2.1.89],['1.2.1.89']
K05308,189,20.0,14.0,33,Mandelate racemase/muconate lactonizing enzyme family protein,[]
K18022,24,2.0,0.0,2,2Fe-2S iron-sulfur cluster binding domain-containing protein,[]
K00150,744,64.0,60.0,123,Glyceraldehyde-3-phosphate dehydrogenase [EC:1.2.1.59],['1.2.1.59']
K12406,59,2.0,0.0,2,Pyruvate kinase [EC:2.7.1.40],['2.7.1.40']
K02588,823,74.0,100.0,173,Nitrogenase iron protein [EC:1.18.6.1],['1.18.6.1']
K17100,72,10.0,3.0,12,Transketolase-like pyrimidine-binding domain-containing protein,[]
K00845,1873,150.0,231.0,380,Glucokinase [EC:2.7.1.2],['2.7.1.2']
K01586,5593,432.0,819.0,1250,Diaminopimelate decarboxylase,[]
K01850,318,26.0,31.0,56,Chorismate mutase [EC:5.4.99.5],['5.4.99.5']
K02535,2142,156.0,218.0,373,UDP-3-O-acyl-N-acetylglucosamine deacetylase [EC:3.5.1.108],['3.5.1.108']
K15635,720,56.0,56.0,111,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]",['5.4.2.12']
K01079,3209,245.0,410.0,654,Phosphoserine phosphatase [EC:3.1.3.3],['3.1.3.3']
K00912,2440,191.0,338.0,528,Tetraacyldisaccharide 4'-kinase [EC:2.7.1.130],['2.7.1.130']
K01653,3920,313.0,547.0,859,Acetolactate synthase small subunit [EC:2.2.1.6],['2.2.1.6']
K03737,1229,108.0,162.0,269,Pyruvate-flavodoxin oxidoreductase,[]
K13812,98,7.0,8.0,14,Bifunctional enzyme Fae/Hps [EC:4.2.1.147],['4.2.1.147']
K13831,124,7.0,0.0,7,(Fe-S)-cluster assembly protein,[]
K06001,827,71.0,76.0,146,Tryptophan synthase beta chain [EC:4.2.1.20],['4.2.1.20']
K14187,466,44.0,37.0,80,Bifunctional chorismate mutase/prephenate dehydrogenase [EC:1.3.1.12],['1.3.1.12']
K04516,500,49.0,49.0,97,Chorismate mutase [EC:5.4.99.5],['5.4.99.5']
K04092,694,65.0,78.0,142,chorismate mutase [EC:5.4.99.5],['5.4.99.5']
K02527,2503,208.0,275.0,482,3-deoxy-D-manno-octulosonic acid transferase [EC:2.4.99.12],['2.4.99.12']
K00955,1106,94.0,100.0,193,Multifunctional fusion protein [EC:2.7.7.4],['2.7.7.4']
K00014,2511,207.0,355.0,561,Shikimate dehydrogenase (NADP(+)) [EC:1.1.1.25],['1.1.1.25']
K00748,2569,212.0,310.0,521,Lipid-A-disaccharide synthase [EC:2.4.1.182],['2.4.1.182']
K01086,88,9.0,8.0,16,"Fructose-1,6-bisphosphatase class 1 [EC:3.1.3.11]",['3.1.3.11']
K00958,1177,102.0,115.0,216,Adenylyl-sulfate kinase [EC:2.7.1.25],['2.7.1.25']
K00677,2677,203.0,358.0,560,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase [EC:2.3.1.129],['2.3.1.129']
K00831,3899,308.0,603.0,910,Phosphoserine aminotransferase [EC:2.6.1.52],['2.6.1.52']
K06209,421,40.0,39.0,78,UPF0735 ACT domain-containing protein U729_1847,[]
K01623,1917,151.0,277.0,427,fructose-bisphosphate aldolase [EC:4.1.2.13],['4.1.2.13']
K13937,116,11.0,14.0,24,GDH/6PGL endoplasmic bifunctional protein,[]
K15634,1123,96.0,150.0,245,Histidine phosphatase family protein,[]
K00053,4255,306.0,535.0,840,Ketol-acid reductoisomerase (NADP(+)) [EC:1.1.1.86],['1.1.1.86']
K06208,664,63.0,96.0,158,chorismate mutase [EC:5.4.99.5],['5.4.99.5']
K05359,314,30.0,32.0,61,"Arogenate dehydratase/prephenate dehydratase 2, chloroplastic [EC:4.2.1.51]",['4.2.1.51']
K01713,468,42.0,55.0,96,Solute-binding protein family 3/N-terminal domain-containing protein,[]
K00838,144,2.0,0.0,2,"Aromatic amino acid aminotransferase, putative [EC:2.6.1.-]",['2.6.1.-']
K00211,131,14.0,11.0,24,Prephenate dehydrogenase [NADP(+)] [EC:1.3.1.13],['1.3.1.13']
K01006,2037,155.0,215.0,369,"Pyruvate, phosphate dikinase [EC:2.7.9.1]",['2.7.9.1']
K00131,635,56.0,54.0,109,NADP-dependent glyceraldehyde-3-phosphate dehydrogenase-like,[]
K00863,546,42.0,45.0,86,DAK2 domain-containing protein,[]
